part_id,rev,kind,format,path,bytes,sha256
001-right-wrist-long-latest,01,modules,STEP,files/modules/001-right-wrist-long-latest_rev01.step,12141911,ea50e261f296055cb3e5efea145c17e2f55d817c817fb1d88aed63bd8e7b24e9
3dp-arm06-x4-rs02-shaft-coupler-2,01,modules,STEP,files/modules/3dp-arm06-x4-rs02-shaft-coupler-2_rev01.step,894891,2bec2616017fa7865ae3a524b8e6fd162864a43628d4797992e5a41ab8602b41
3dp-arm06-x4-rs02-shaft-coupler,01,modules,STEP,files/modules/3dp-arm06-x4-rs02-shaft-coupler_rev01.step,895188,363ba68108808ee23c0ebb8e6ce9d738659d69a88887b2584fbc8b4e5039eb72
3dp-body-05-x1-interior-plate,01,modules,STEP,files/modules/3dp-body-05-x1-interior-plate_rev01.step,1704972,255447660b530fc5ab7764620ba188874ff4943f470388249fad8764ceef432e
3dp-body-07-x1-front-plate-removable,01,modules,STEP,files/modules/3dp-body-07-x1-front-plate-removable_rev01.step,3993864,6bf31fdc9754715bfe69fb548e05a1d7fa0a79b562df6dfd6f46db0e323f184a
3dp-body-09-x1-back-plate-removable,01,modules,STEP,files/modules/3dp-body-09-x1-back-plate-removable_rev01.step,1918156,7ad4fd09c89c194026d3c838a1c1723fb524aa98aa557c9ab93473e1b72197a8
ankle-roll-motor-protection,01,modules,STEP,files/modules/ankle-roll-motor-protection_rev01.step,1981762,4cc0d6a771b047d363ac11c39a69090dd2b6610668cfcac6402626b694ee5a1b
ankle-roll-structural-part-protection,01,modules,STEP,files/modules/ankle-roll-structural-part-protection_rev01.step,117714,6f6a0683af628579127f0887f3614d62b83863ef5f06ad4f293ac8e2747c2125
base,01,modules,STEP,files/modules/base_rev01.step,409478,58a372efee97adf97878d5fffa1c3efdd04f5409473b54200b37c84e8830b8c2
bearing-35x44x5-6707-1-6kn-15g-2,01,modules,STEP,files/modules/bearing-35x44x5-6707-1-6kn-15g-2_rev01.step,91549,3e34c3ad0ae9b4a1630bf6fe87daba8e211533e2cb35ab86ace3205e4c074559
bearing-35x44x5-6707-1-6kn-15g,01,modules,STEP,files/modules/bearing-35x44x5-6707-1-6kn-15g_rev01.step,90885,e61b3329cc9633322e3d5829abfb6164ae41f9da03cd4b5fe28dbd929e954019
bearing-35x47x7-6807-4-0kn-29g,01,modules,STEP,files/modules/bearing-35x47x7-6807-4-0kn-29g_rev01.step,34436,0752c0297d7b6a642b95fd89b7d811aac7a22a3295ff4e39569d62216991a1fe
bearing-45x58x7-6809-5-4kn-40g,01,modules,STEP,files/modules/bearing-45x58x7-6809-5-4kn-40g_rev01.step,89177,a0b9ebda759bb22cfa9f22b18858028f950f48f5bf647bccdaec3449ad7a1975
bearing-50x65x7-6810-6-1kn-52g,01,modules,STEP,files/modules/bearing-50x65x7-6810-6-1kn-52g_rev01.step,64374,a75f71582b6d5d06835524921f6e44968d656947504a9e9bd71155953afb1f18
