path,fusion_name,file_name,visible,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:2,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,-0.000000,1.000000,6.300000,-0.000000,1.000000,0.000000,6.000000,-1.000000,-0.000000,-0.000000,40.725000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:3,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,0.000000,1.000000,6.300000,-0.000000,1.000000,-0.000000,-3.000000,-1.000000,-0.000000,-0.000000,40.725000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:4,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,0.000000,1.000000,6.300000,-0.000000,1.000000,-0.000000,-6.000000,-1.000000,-0.000000,-0.000000,40.725000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:5,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,-0.000000,1.000000,6.300000,-0.000000,1.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,40.725000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:6,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,-0.000000,1.000000,5.850000,-0.000000,1.000000,0.000000,8.100000,-1.000000,-0.000000,-0.000000,37.400000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:7,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,-0.000000,1.000000,5.850000,-0.000000,1.000000,0.000000,8.100000,-1.000000,-0.000000,-0.000000,39.900000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:8,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,0.000000,1.000000,5.850000,-0.000000,1.000000,-0.000000,-8.100000,-1.000000,-0.000000,-0.000000,37.400000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:9,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,0.000000,1.000000,5.850000,-0.000000,1.000000,-0.000000,-8.100000,-1.000000,-0.000000,-0.000000,39.900000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:10,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,0.000000,-1.000000,-5.850000,0.000000,-1.000000,-0.000000,-8.100000,-1.000000,-0.000000,0.000000,37.400000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:11,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,0.000000,-1.000000,-5.850000,0.000000,-1.000000,-0.000000,-8.100000,-1.000000,-0.000000,0.000000,39.900000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:12,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,-0.000000,-1.000000,-5.850000,0.000000,-1.000000,0.000000,8.100000,-1.000000,-0.000000,0.000000,37.400000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:13,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,-0.000000,-1.000000,-5.850000,0.000000,-1.000000,0.000000,8.100000,-1.000000,-0.000000,0.000000,39.900000,0.000000,0.000000,0.000000,1.000000
