fusion_name,file_name,kind,qty,bodies,children,material,mass_g,bbox_x_mm,bbox_y_mm,bbox_z_mm,linked,out_of_date,path
DC1,DC1,subassembly,2,0,1,,9.5,9.4,14.0,14.6,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+DC1:1
dc-005-5a-20,dc-005-5a-20,part,2,1,0,servo_board,9.5,9.4,14.6,14.0,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+DC1:1+dc-005-5a-20:1
H1,H1,subassembly,2,0,1,,3.1,8.0,6.8,11.8,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H1:1
"User_Library-DG350-3,5-02P",User_Library-DG350-3_5-02P,part,2,5,0,servo_board,3.1,8.0,6.8,11.8,False,,"dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H1:1+User_Library-DG350-3,5-02P:1"
H2,H2,subassembly,2,0,6,,0.7,7.4,2.4,11.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H2:1
840721632,840721632,subassembly,10,0,1,,0.1,4.9,2.3,1.1,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H2:1+840721632:1
Extruded (3),Extruded_3,part,10,1,0,servo_board,0.1,4.9,2.3,1.1,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H2:1+840721632:1+Extruded (3):1
840721760,840721760,subassembly,18,0,1,,0.1,1.1,1.1,11.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H2:1+840721760:1
Extruded (2),Extruded_2,part,18,1,0,servo_board,0.1,1.1,1.1,11.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H2:1+840721760:1+Extruded (2):1
H3,H3,subassembly,2,0,1,,1.5,10.0,4.7,9.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H3:1
X2564WV-03-N0SN,X2564WV-03-N0SN,part,4,1,0,servo_board,1.5,10.0,9.4,4.7,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H3:1+X2564WV-03-N0SN:1
